,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
0,-1.0,1.6675374507904053,-0.014992167035379093,0.0,1709853063.4974816,0.0,0.0,0.0
1,0.0,0.004667043685913086,0.0,0.0,1709853063.5021486,0.0,0.0,0.0
2,0.0,0.004701852798461914,0.0,0.0,1709853063.5068505,0.0,0.0,0.0
3,0.0,0.00426936149597168,0.0,0.0,1709853063.5111198,0.0,0.0,0.0
4,0.0,0.0036246776580810547,0.0,0.0,1709853063.5147445,0.0,0.0,0.0
5,0.0,0.03539776802062988,0.0,0.0,1709853063.5501423,0.0,0.0,0.0
6,0.0,0.026669740676879883,0.0,0.0,1709853063.576812,0.0,0.0,0.0
7,0.0,0.03611469268798828,0.0,0.0,1709853063.6129267,0.0,0.0,0.0
8,0.0,0.03522229194641113,0.0,0.0,1709853063.648149,0.0,0.0,0.0
9,0.0,0.03248333930969238,0.0,0.0,1709853063.6806324,0.0,0.0,0.0
10,0.0,0.03599262237548828,0.0,0.0,1709853063.716625,0.0,0.0,0.0
11,0.0,0.03760123252868652,0.0,0.0,1709853063.7542262,0.0,0.0,0.0
12,0.0,0.03974175453186035,0.0,0.0,1709853063.793968,0.0,0.0,0.0
13,0.0,0.03764915466308594,0.0,0.0,1709853063.831617,0.0,0.0,0.0
14,0.0,0.03357505798339844,0.0,0.0,1709853063.8651922,0.0,0.0,0.0
15,0.0,0.03449225425720215,0.0,0.0,1709853063.8996844,0.0,0.0,0.0
16,0.0,0.042891740798950195,0.0,0.0,1709853063.9425762,0.0,0.0,0.0
17,0.0,0.028345346450805664,0.0,0.0,1709853063.9709215,0.0,0.0,0.0
18,0.0,0.03289508819580078,0.0,0.0,1709853064.0038166,0.0,0.0,0.0
19,0.0,0.03336477279663086,0.0,0.0,1709853064.0371814,0.0,0.0,0.0
20,0.0,0.0413205623626709,0.0,0.0,1709853064.078502,0.0,0.0,0.0
21,0.0,0.033493757247924805,0.0,0.0,1709853064.1119957,0.0,0.0,0.0
22,0.0,0.03510928153991699,0.0,0.0,1709853064.147105,0.0,0.0,0.0
23,0.0,0.033818721771240234,0.0,0.0,1709853064.1809237,0.0,0.0,0.0
24,0.0,0.03494000434875488,0.0,0.0,1709853064.2158637,0.0,0.0,0.0
25,0.0,0.03862953186035156,0.0,0.0,1709853064.2544932,0.0,0.0,0.0
26,0.0,0.03152036666870117,0.0,0.0,1709853064.2860136,0.0,0.0,0.0
27,0.0,0.03403830528259277,0.0,0.0,1709853064.320052,0.0,0.0,0.0
28,0.0,0.033977508544921875,0.0,0.0,1709853064.3540294,0.0,0.0,0.0
29,0.0,0.03948807716369629,0.0,0.0,1709853064.3935175,0.0,0.0,0.0
30,0.0,0.038483381271362305,0.0,0.0,1709853064.4320009,0.0,0.0,0.0
31,0.0,0.029378652572631836,0.0,0.0,1709853064.4613795,0.0,0.0,0.0
32,0.0,0.036214351654052734,0.0,0.0,1709853064.4975939,0.0,0.0,0.0
33,0.0,0.03470015525817871,0.0,0.0,1709853064.532294,0.0,0.0,0.0
34,0.0,0.035546302795410156,0.0,0.0,1709853064.5678403,0.0,0.0,0.0
35,0.0,0.030047893524169922,0.0,0.0,1709853064.5978882,0.0,0.0,0.0
36,0.0,0.03566288948059082,0.0,0.0,1709853064.6335511,0.0,0.0,0.0
37,0.0,0.04044032096862793,0.0,0.0,1709853064.6739914,0.0,0.0,0.0
38,0.0,0.0375368595123291,0.0,0.0,1709853064.7115283,0.0,0.0,0.0
39,0.0,0.030430078506469727,0.0,0.0,1709853064.7419584,0.0,0.0,0.0
40,0.0,0.036072731018066406,0.0,0.0,1709853064.778031,0.0,0.0,0.0
41,0.0,0.037017107009887695,0.0,123.0,1709853064.8150482,522.75,0.0,344.4
42,0.0,0.03134322166442871,0.0,122.0,1709853064.8463914,518.5,0.0,-2.8
43,0.0,0.035848379135131836,0.0,102.0,1709853064.8822398,433.5,0.0,-56.0
44,0.0,0.031096696853637695,0.0,0.0,1709853064.9133365,0.0,0.0,-285.59999999999997
45,0.0,0.03603529930114746,0.0,0.0,1709853064.9493718,0.0,0.0,0.0
46,0.0,0.0400238037109375,0.0,0.0,1709853064.9893956,0.0,0.0,0.0
47,0.0,0.03492927551269531,0.0,118.0,1709853065.024325,501.5,0.0,330.4
48,0.0,0.028887510299682617,0.0,100.0,1709853065.0532124,425.0,0.0,-50.4
49,0.0,0.04105997085571289,0.0,105.0,1709853065.0942724,446.25,0.0,14.0
50,0.0,0.03654932975769043,0.0,107.0,1709853065.1308217,454.75,0.0,5.6
51,0.0,0.03510618209838867,0.0,118.0,1709853065.165928,501.5,0.0,30.799999999999997
52,0.0,0.03212451934814453,0.0,0.0,1709853065.1980524,0.0,0.0,-330.4
53,0.0,0.03264117240905762,0.0,100.0,1709853065.2306936,425.0,0.0,280.0
54,0.0,0.03587174415588379,0.0,100.0,1709853065.2665653,425.0,0.0,0.0
55,0.0,0.036817312240600586,0.0,97.0,1709853065.3033826,412.25,0.0,-8.399999999999999
56,0.0,0.037377119064331055,0.0,101.0,1709853065.3407598,429.25,0.0,11.2
57,0.0,0.03196454048156738,0.0,103.0,1709853065.3727243,437.75,0.0,5.6
58,0.0,0.032408714294433594,0.0,99.0,1709853065.405133,420.75,0.0,-11.2
59,0.0,0.039380788803100586,0.0,103.0,1709853065.4445138,437.75,0.0,11.2
60,0.0,0.03417801856994629,0.0,102.0,1709853065.4786918,433.5,0.0,-2.8
61,0.0,0.03515362739562988,0.0,106.0,1709853065.5138454,450.5,0.0,11.2
62,0.0,0.03382158279418945,0.0,101.0,1709853065.547667,429.25,0.0,-14.0
63,0.0,0.035541534423828125,0.0,102.0,1709853065.5832086,433.5,0.0,2.8
64,0.0,0.0331113338470459,0.0,97.0,1709853065.61632,412.25,0.0,-14.0
65,0.0,0.033797502517700195,0.0,104.0,1709853065.6501174,442.0,0.0,19.599999999999998
66,0.0,0.0359959602355957,0.0,105.0,1709853065.6861134,446.25,0.0,2.8
67,0.0,0.03867030143737793,0.0,105.0,1709853065.7247837,446.25,0.0,0.0
68,0.0,0.03856325149536133,0.0,105.0,1709853065.763347,446.25,0.0,0.0
69,0.0,0.0315706729888916,0.0,105.0,1709853065.7949176,446.25,0.0,0.0
70,0.0,0.0382535457611084,0.0,104.0,1709853065.8331711,442.0,0.0,-2.8
71,0.0,0.03141450881958008,0.0,104.0,1709853065.8645856,442.0,0.0,0.0
72,0.0,0.03463006019592285,0.0,105.0,1709853065.8992157,446.25,0.0,2.8
73,0.0,0.034700632095336914,0.0,105.0,1709853065.9339163,446.25,0.0,0.0
