,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime,PWMReq
0,-1.0,1.42049241065979,-0.017599530847467185,176.0,-176.0,1709680881.6071515,1240.8
1,0.0,0.026787996292114258,0.0,184.0,-184.0,1709680881.6339395,804.4
2,0.0,0.04240918159484863,0.0,182.0,-182.0,1709680881.6763487,767.9
3,0.0,0.030215740203857422,0.0,0.0,0.0,1709680881.7065644,-509.59999999999997
4,0.0,0.030911684036254883,0.0,0.0,0.0,1709680881.737476,0.0
5,0.0,0.03556323051452637,0.0,0.0,0.0,1709680881.7730393,0.0
6,0.0,0.036479949951171875,0.0,0.0,0.0,1709680881.8095193,0.0
7,0.0,0.03224682807922363,0.0,0.0,0.0,1709680881.841766,0.0
8,0.0,0.035582780838012695,0.0,0.0,0.0,1709680881.877349,0.0
9,0.0,0.03586864471435547,0.0,0.0,0.0,1709680881.9132175,0.0
10,0.0,0.03184866905212402,0.0,0.0,0.0,1709680881.9450662,0.0
11,0.0,0.03599905967712402,0.0,0.0,0.0,1709680881.9810653,0.0
12,0.0,0.03808879852294922,0.0,0.0,0.0,1709680882.019154,0.0
13,0.0,0.03165555000305176,0.0,0.0,0.0,1709680882.0508096,0.0
14,0.0,0.0359957218170166,0.0,0.0,0.0,1709680882.0868053,0.0
15,0.0,0.03604698181152344,0.0,0.0,0.0,1709680882.1228523,0.0
16,0.0,0.03272080421447754,0.0,0.0,0.0,1709680882.1555731,0.0
17,0.0,0.035874366760253906,0.0,0.0,0.0,1709680882.1914475,0.0
18,0.0,0.03559088706970215,0.0,0.0,0.0,1709680882.2270384,0.0
19,0.0,0.03314566612243652,0.0,0.0,0.0,1709680882.260184,0.0
20,0.0,0.034462928771972656,0.0,0.0,0.0,1709680882.294647,0.0
21,0.0,0.03597402572631836,0.0,0.0,0.0,1709680882.330621,0.0
22,0.0,0.03188610076904297,0.0,0.0,0.0,1709680882.362507,0.0
23,0.0,0.036203861236572266,0.0,0.0,0.0,1709680882.398711,0.0
24,0.0,0.03584933280944824,0.0,0.0,0.0,1709680882.4345603,0.0
25,0.0,0.03189873695373535,0.0,0.0,0.0,1709680882.466459,0.0
26,0.0,0.03609871864318848,0.0,0.0,0.0,1709680882.5025578,0.0
27,0.0,0.0371403694152832,0.0,0.0,0.0,1709680882.5396981,0.0
28,0.0,0.03099799156188965,0.0,0.0,0.0,1709680882.570696,0.0
29,0.0,0.0369112491607666,0.0,0.0,0.0,1709680882.6076074,0.0
30,0.0,0.03505682945251465,0.0,0.0,0.0,1709680882.6426642,0.0
